,date,open,high,low,close,volume,daily return,cumulative return
0,2022-10-07,81.7,82.8,81.2,81.35,27043107,,
1,2022-10-10,79.25,79.55,78.0,78.7,28520208,-0.032575291948371166,-0.032575291948371166
2,2022-10-11,78.15,78.6,75.6,76.0,39298810,-0.03430749682337997,-0.06576521204671171
3,2022-10-12,74.5,77.35,72.3,74.35,56354876,-0.021710526315789513,-0.08604794099569757
4,2022-10-13,74.35,74.95,72.6,72.75,25774888,-0.021519838601210428,-0.10571604179471406
5,2022-10-14,74.0,76.1,72.35,73.25,43037199,0.0068728522336769515,-0.0995697602950214
6,2022-10-17,72.15,74.65,70.9,73.2,45035937,-0.0006825938566552558,-0.10018438844499067
7,2022-10-18,75.3,76.4,73.85,76.0,35967664,0.03825136612021862,-0.0657652120467116
8,2022-10-19,75.1,75.6,72.5,72.7,39088213,-0.043421052631578916,-0.10633066994468332
9,2022-10-20,69.0,71.2,68.0,69.9,63153613,-0.038514442916093516,-0.1407498463429624
10,2022-10-21,70.1,71.1,69.35,69.6,55066786,-0.0042918454935624295,-0.1444376152427782
11,2022-10-24,66.0,67.25,60.8,61.65,169668961,-0.11422413793103448,-0.24216349108789192
12,2022-10-25,61.85,65.95,60.25,63.6,102026681,0.031630170316301776,-0.21819299323909036
13,2022-10-26,61.8,64.65,61.25,62.3,93276020,-0.020440251572327095,-0.23417332513829137
14,2022-10-27,67.55,67.95,64.65,64.85,91203977,0.040930979133226186,-0.20282728948985873
15,2022-10-28,64.25,64.55,60.9,61.75,69414690,-0.04780262143407854,-0.24093423478795328
16,2022-10-31,61.0,64.55,60.3,61.45,65768272,-0.004858299595141613,-0.24462200368776887
17,2022-11-01,63.05,68.25,62.85,66.1,112728864,0.0756712774613506,-0.187461585740627
18,2022-11-02,65.3,68.0,64.15,67.4,44674540,0.019667170953101554,-0.17148125384142587
19,2022-11-03,63.6,65.0,62.85,63.0,58022487,-0.06528189910979232,-0.22556853103872154
20,2022-11-04,64.0,76.2,64.0,69.9,151997251,0.10952380952380958,-0.1407498463429624
21,2022-11-07,66.7,71.8,66.3,69.7,99793174,-0.0028612303290415086,-0.14320835894283945
22,2022-11-08,68.75,69.0,66.4,67.1,64928791,-0.03730272596843631,-0.17516902274124158
23,2022-11-09,66.7,67.75,65.15,66.0,63076446,-0.016393442622950727,-0.1886908420405654
24,2022-11-10,63.9,64.5,62.6,63.0,58517362,-0.045454545454545414,-0.22556853103872154
25,2022-11-11,68.75,71.45,67.05,70.8,110961720,0.12380952380952381,-0.12968653964351562
26,2022-11-14,73.0,73.7,70.0,71.05,93784730,0.003531073446327637,-0.1266133988936693
27,2022-11-15,71.0,80.85,69.75,78.9,187288574,0.11048557353976096,-0.030116779348493883
28,2022-11-16,77.75,80.8,77.0,78.8,100509510,-0.0012674271229405898,-0.031346035648432524
