date,open,high,low,close,volume,daily return,cumulative return,1M return,3M return,1Y return
2022-11-11,186.0,196.52,182.59,195.97,114403575,,,,,
2022-11-14,192.77,195.73,186.34,190.95,92226649,-0.025616165739654084,-0.025616165739654084,,,-0.025616165739654084
2022-11-15,195.88,200.8237,192.06,194.42,91293785,0.018172296412673372,-0.007909373883757898,,,-0.007909373883757898
2022-11-16,191.51,192.57,185.66,186.92,66567599,-0.0385762781606831,-0.04618053783742426,,,-0.04618053783742426
2022-11-17,183.96,186.16,180.9,183.17,64335970,-0.02006205863471,-0.06531611981425745,,,-0.06531611981425745
2022-11-18,185.05,185.19,176.55,180.19,76048866,-0.01626903968990545,-0.08052252895851408,,,-0.08052252895851408
2022-11-21,175.85,176.77,167.54,167.87,92882712,-0.06837227371108268,-0.14338929427973668,,,-0.14338929427973668
2022-11-22,168.63,170.92,166.185,169.91,78452327,0.012152260677905424,-0.13297953768433945,,,-0.13297953768433945
2022-11-23,173.57,183.62,172.5,183.2,109536709,0.0782178800541462,-0.06516303515844268,,,-0.06516303515844268
2022-11-25,185.06,185.2,180.63,182.86,50672739,-0.0018558951965064185,-0.06689799459100876,,,-0.06689799459100876
2022-11-28,179.96,188.5,179.0,182.92,93038148,0.0003281198731268642,-0.06659182527937957,,,-0.06659182527937957
2022-11-29,184.99,186.38,178.75,180.83,83357111,-0.011425759895035914,-0.07725672296780106,,,-0.07725672296780106
2022-11-30,182.43,194.76,180.6301,194.7,109186404,0.0767018746889343,-0.006480583762820791,,,-0.006480583762820791
2022-12-01,197.08,198.92,191.8,194.7,80046213,0.0,-0.006480583762820791,,,-0.006480583762820791
2022-12-02,191.78,196.25,191.11,194.86,73645922,0.0008217770929637158,-0.005664132265142396,,,-0.005664132265142396
2022-12-05,189.44,191.27,180.55,182.45,93122667,-0.06368674946115171,-0.06899015155380916,,,-0.06899015155380916
2022-12-06,181.215,183.65,175.33,179.82,92150823,-0.014414908194025688,-0.08241057304689481,,,-0.08241057304689481
2022-12-07,175.03,179.38,172.218,174.04,84213284,-0.0321432543654766,-0.1119048834005204,,,-0.1119048834005204
2022-12-08,172.2,175.2,169.06,173.44,97624491,-0.003447483337163826,-0.11496657651681363,,,-0.11496657651681363
2022-12-09,173.84,182.5,173.36,179.05,104872336,0.032345479704797064,-0.08633974587947113,,,-0.08633974587947113
2022-12-12,176.1,177.37,167.52,167.82,109794471,-0.06271991063948623,-0.14364443537276095,,,-0.14364443537276095
2022-12-13,174.87,175.05,156.91,160.95,175862722,-0.04093671791204867,-0.17870082155431943,,,-0.17870082155431943
2022-12-14,159.25,161.62,155.31,156.8,140682338,-0.025784405094749774,-0.199877532275348,,,-0.199877532275348
2022-12-15,153.44,160.9299,153.28,157.67,122334459,0.005548469387754995,-0.1954380772567228,,,-0.1954380772567228
2022-12-16,159.635,160.99,150.04,150.23,139032175,-0.0471871630620917,-0.23340307189875986,,,-0.23340307189875986
2022-12-19,154.0,155.25,145.82,149.87,139390634,-0.002396325634027696,-0.23524008776853578,,,-0.23524008776853578
2022-12-20,146.05,148.47,137.66,137.8,159563267,-0.08053646493627808,-0.29683114762463625,,,-0.29683114762463625
2022-12-21,139.335,141.26,135.89,137.57,145417412,-0.0016690856313499314,-0.29800479665254875,,,-0.29800479665254875
2022-12-22,136.0,136.63,122.26,125.35,210090250,-0.088827505996947,-0.3603612797877225,,,-0.3603612797877225
2022-12-23,126.37,128.6173,121.02,123.15,166989688,-0.017550857598723435,-0.3715874878807979,,,-0.3715874878807979
2022-12-27,117.495,119.67,108.76,109.1,208643444,-0.11408850994721897,-0.4432821350206664,,,-0.4432821350206664
2022-12-28,110.35,116.27,108.24,112.71,221070537,0.033088909257561916,-0.42486094810430164,,,-0.42486094810430164
2022-12-29,120.385,123.57,117.495,121.82,221923313,0.08082690089610511,-0.3783742409552482,,,-0.3783742409552482
2022-12-30,119.95,124.48,119.75,123.18,157777339,0.011164012477425933,-0.3714344032249832,,,-0.3714344032249832
2023-01-03,118.47,118.8,104.64,108.1,231402818,-0.12242247118038652,-0.4483849568811552,,,-0.4483849568811552
2023-01-04,109.11,114.59,107.52,113.64,180388976,0.05124884366327476,-0.4201153237740469,,,-0.4201153237740469
2023-01-05,110.51,111.75,107.1601,110.34,157986324,-0.029039070749735996,-0.4369546359136601,,,-0.4369546359136601
2023-01-06,103.0,114.39,101.81,113.06,220911051,0.02465107848468362,-0.42307496045313053,,,-0.42307496045313053
2023-01-09,118.96,123.52,117.11,119.77,190283951,0.05934901822041394,-0.38883502576925033,,,-0.38883502576925033
2023-01-10,121.07,122.76,114.92,118.85,167642485,-0.007681389329548316,-0.3935296218809001,,,-0.3935296218809001
2023-01-11,122.09,125.95,120.51,123.22,183810771,0.036769036600757365,-0.37123029035056376,,,-0.37123029035056376
2023-01-12,122.56,124.1311,117.0,123.56,169400913,0.002759292322674911,-0.3694953309179976,,,-0.3694953309179976
2023-01-13,116.55,122.63,115.6,122.4,180714119,-0.009388151505341558,-0.3754146042761647,,,-0.3754146042761647
2023-01-17,125.695,131.7,125.02,131.49,186476985,0.0742647058823529,-0.3290299535643211,,,-0.3290299535643211
2023-01-18,136.555,136.68,127.01,128.78,195680318,-0.02060993231424446,-0.34285860080624586,,,-0.34285860080624586
2023-01-19,127.26,129.99,124.3082,127.17,170291880,-0.012501941295232188,-0.35107414400163295,,,-0.35107414400163295
2023-01-20,128.68,133.51,127.3466,133.42,138858136,0.049146811354879194,-0.31918150737357776,,,-0.31918150737357776
2023-01-23,135.87,145.3793,134.27,143.75,203119211,0.07742467396192487,-0.2664693575547279,,,-0.2664693575547279
2023-01-24,143.0,146.5,141.1,143.89,158699056,0.0009739130434782695,-0.26575496249425945,,,-0.26575496249425945
2023-01-25,141.905,146.41,138.07,144.43,192734347,0.003752866773229613,-0.2629994386895954,,,-0.2629994386895954
2023-01-26,159.965,161.42,154.76,160.27,234815090,0.10967250571210974,-0.18217074041945203,,,-0.18217074041945203
2023-01-27,162.43,180.68,161.17,177.9,306590613,0.11000187184126786,-0.09220799101903365,,,-0.09220799101903365
2023-01-30,178.05,179.77,166.5,166.66,230878807,-0.06318156267566055,-0.1495637087309284,,,-0.1495637087309284
2023-01-31,164.57,174.3,162.78,173.22,196813541,0.0393615744629785,-0.11608919732612155,,,-0.11608919732612155
2023-02-01,173.89,183.805,169.93,181.41,213806323,0.047280914444059574,-0.0742970862887179,,,-0.0742970862887179
2023-02-02,187.325,196.7501,182.61,188.27,217448287,0.03781489443801345,-0.03929172832576433,,,-0.03929172832576433
2023-02-03,183.95,199.0,183.69,189.98,232662023,0.009082700377117892,-0.030565902944328482,,,-0.030565902944328482
2023-02-06,193.01,198.17,189.92,194.76,186188131,0.025160543215075215,-0.006174414451191823,,,-0.006174414451191823
2023-02-07,196.43,197.5,189.55,196.81,186010325,0.010525775313205976,0.00428637036281021,,,0.00428637036281021
2023-02-08,196.1,203.0,194.31,201.29,180673644,0.022763070982165567,0.027147012297800366,,,0.027147012297800366
2023-02-09,207.775,214.0,204.77,207.32,215431442,0.02995677877688907,0.0579170281165482,,,0.0579170281165482
2023-02-10,202.225,206.2,192.89,196.89,204754129,-0.05030870152421385,0.004694596111649352,,,0.004694596111649352
2023-02-13,194.415,196.3,187.61,194.64,172475452,-0.011427700746609815,-0.0067867530744505355,,,-0.0067867530744505355
2023-02-14,191.94,209.82,189.44,209.25,216455708,0.07506165228113448,0.06776547430729152,,,0.06776547430729152
2023-02-15,211.755,214.66,206.11,214.24,182108581,0.023847072879330966,0.09322855539113095,,,0.09322855539113095
2023-02-16,210.78,217.65,201.84,202.04,229586538,-0.05694548170276337,0.030974128693166847,,,0.030974128693166847
2023-02-17,199.985,208.44,197.5,208.31,213738549,0.03103345872104546,0.0629688217584321,,,0.0629688217584321
2023-02-21,204.99,209.71,197.22,197.37,180018588,-0.05251788200278429,0.007143950604684202,,,0.007143950604684202
2023-02-22,197.93,201.99,191.78,200.86,191828457,0.01768252520646496,0.02495279889779023,,,0.02495279889779023
2023-02-23,203.91,205.14,196.33,202.07,146359950,0.0060240963855420215,0.031127213348981497,,,0.031127213348981497
