,date,open,high,low,close,volume,daily return,cumulative return
47,2022-12-12,89.8,90.9,87.6,88.35,48772508,-0.038105606967882455,0.06253758268190035
48,2022-12-13,87.7,90.25,87.1,88.35,49026085,0.0,0.06253758268190035
49,2022-12-14,89.7,90.5,88.55,89.5,42497183,0.013016411997736288,0.07636800962116674
50,2022-12-15,88.5,88.55,85.2,85.9,46551464,-0.040223463687150796,0.03307276007215898
51,2022-12-16,84.15,88.75,84.15,86.45,77057783,0.00640279394644927,0.0396873120865906
52,2022-12-19,86.9,90.8,86.4,87.05,70038366,0.006940427993059606,0.046903187011425373
53,2022-12-20,85.0,85.55,82.5,84.05,57291122,-0.034462952326249296,0.010823812387252163
54,2022-12-21,84.45,85.4,83.7,84.45,31475853,0.004759071980963814,0.01563439567047542
55,2022-12-22,86.5,89.15,86.45,87.9,53772623,0.04085257548845478,0.0571256764882746
56,2022-12-23,85.4,87.55,85.4,86.5,34114821,-0.015927189988623525,0.040288634996993755
57,2022-12-28,87.3,89.35,87.3,87.7,55669943,0.01387283236994219,0.054720384846663084
58,2022-12-29,85.4,85.85,84.65,85.55,44950446,-0.02451539338654507,0.02886349969933888
59,2022-12-30,87.3,88.3,85.7,86.25,35928445,0.008182349503214503,0.0372820204449793
60,2023-01-03,85.7,89.15,84.6,88.65,45393323,0.02782608695652189,0.06614552014431796
61,2023-01-04,90.75,96.5,89.5,96.4,118636981,0.08742244782853925,0.15935057125676555
62,2023-01-05,102.1,103.8,98.2,99.6,104685426,0.03319502074688785,0.19783523752255006
63,2023-01-06,101.5,102.7,99.7,101.6,73315739,0.02008032128514059,0.22188815393866546
64,2023-01-09,105.6,110.9,105.0,110.4,123720147,0.08661417322834652,0.32772098616957357
65,2023-01-10,109.0,110.0,107.0,109.5,76284815,-0.00815217391304357,0.3168971737823214
66,2023-01-11,112.2,115.0,110.5,112.9,108863653,0.031050228310502304,0.35778713168971765
67,2023-01-12,113.1,113.1,107.8,110.8,91858342,-0.01860053144375562,0.3325315694527964
68,2023-01-13,110.8,113.0,109.0,112.7,72120768,0.017148014440433235,0.35538184004810613
69,2023-01-16,114.2,115.4,110.9,113.4,65734884,0.006211180124223725,0.3638003607937468
70,2023-01-17,114.0,116.8,112.8,114.5,62173474,0.00970017636684295,0.37702946482261024
71,2023-01-18,112.9,114.9,110.7,114.1,55425698,-0.003493449781659441,0.372218881539387
72,2023-01-19,111.0,113.6,110.3,112.2,55515129,-0.016652059596844793,0.34936861094407745
73,2023-01-20,114.8,117.0,114.3,116.3,64593525,0.036541889483065804,0.3986770895971139
74,2023-01-26,117.8,118.5,116.3,117.5,54550091,0.010318142734307756,0.413108839446783
75,2023-01-27,117.7,118.2,115.8,117.3,49008508,-0.0017021276595744483,0.4107035478051715
76,2023-01-30,114.5,115.4,107.8,109.0,131046567,-0.07075873827791979,0.3108839446782925
77,2023-01-31,109.6,110.5,105.5,107.6,94863420,-0.012844036697247763,0.29404690318701165
78,2023-02-01,109.0,110.5,107.2,110.0,55654697,0.02230483271375472,0.3229104028863503
79,2023-02-02,111.4,112.3,108.7,109.0,39931077,-0.009090909090909038,0.3108839446782927
80,2023-02-03,107.2,107.7,105.3,106.1,55271792,-0.026605504587156048,0.27600721587492516
81,2023-02-06,102.2,103.8,101.5,103.2,53151968,-0.027332704995287394,0.24113048707155782
82,2023-02-07,103.5,106.7,103.5,104.8,38073535,0.015503875968992276,0.2603728202044502
83,2023-02-08,104.4,104.8,102.1,103.5,39292294,-0.012404580152671763,0.2447384245339752
84,2023-02-09,103.5,108.5,103.1,107.6,60791720,0.03961352657004835,0.2940469031870119
85,2023-02-10,107.3,107.6,103.4,104.1,44532345,-0.032527881040892215,0.25195429945880976
86,2023-02-13,101.1,104.9,100.7,104.0,41478273,-0.0009606147934677622,0.2507516536380041
87,2023-02-14,103.6,103.9,102.3,102.5,39436631,-0.014423076923076872,0.23271196632591762
88,2023-02-15,102.3,102.5,100.1,100.9,46755321,-0.015609756097560878,0.21346963319302548
89,2023-02-16,102.0,105.4,101.5,102.1,43292397,0.011892963330029538,0.22790138304269458
90,2023-02-17,102.1,102.9,99.45,99.45,37616027,-0.025954946131243828,0.1960312687913417
91,2023-02-20,98.8,100.5,98.0,99.4,38508675,-0.0005027652086475598,0.19542994588093876
92,2023-02-21,99.5,99.5,95.0,95.2,58373987,-0.04225352112676062,0.14491882140709622
93,2023-02-22,92.1,94.8,92.1,92.95,59459217,-0.023634453781512632,0.11785929043896637
94,2023-02-23,92.75,96.25,92.6,95.15,48408447,0.02366863905325456,0.1443174984966935
95,2023-02-24,93.25,93.25,90.0,90.05,81538617,-0.05359957961114037,0.08298256163559903
96,2023-02-27,88.0,92.15,87.75,89.4,77371929,-0.0072182121043863345,0.07516536380036154
97,2023-02-28,88.25,89.25,86.05,86.5,82590338,-0.032438478747203625,0.04028863499699398
98,2023-03-01,86.7,92.15,86.6,91.9,76906503,0.062427745664739964,0.10523150932050584
99,2023-03-02,88.6,89.0,87.45,87.6,79258745,-0.04678998911860732,0.053517739025857436
100,2023-03-03,89.5,89.5,87.3,88.0,50893726,0.004566210045662267,0.058328322309080693
101,2023-03-06,87.35,88.25,86.55,87.25,53347406,-0.008522727272727293,0.049308478653037335
102,2023-03-07,89.0,91.65,87.8,88.6,62222775,0.015472779369627432,0.06554419723391525
103,2023-03-08,87.0,87.1,85.1,85.75,51977469,-0.03216704288939043,0.03126879134095084
104,2023-03-09,86.3,86.5,84.5,84.5,43587344,-0.014577259475218707,0.016235718580878578
105,2023-03-10,81.5,82.2,81.0,81.15,77303637,-0.03964497041420112,-0.024052916416114734
106,2023-03-13,82.4,84.95,81.45,83.25,64694323,0.025878003696857554,0.001202645820806314
107,2023-03-14,81.5,82.05,79.5,80.0,73040873,-0.03903903903903905,-0.03788334335538135
108,2023-03-15,82.7,83.7,81.55,82.05,46739487,0.02562500000000001,-0.013229104028863015
109,2023-03-16,80.2,81.45,79.8,80.5,45643767,-0.018890920170627656,-0.031870114251352444
110,2023-03-17,81.4,82.2,80.55,81.5,67317247,0.012422360248447228,-0.019843656043294633
111,2023-03-20,80.95,81.15,78.1,79.2,52567854,-0.02822085889570547,-0.04750450992182742
112,2023-03-21,79.35,80.65,78.7,80.5,36073232,0.016414141414141437,-0.03187011425135233
113,2023-03-22,82.2,84.4,82.1,82.85,44553051,0.029192546583850953,-0.0036079374624166105
114,2023-03-23,82.55,86.7,82.35,86.2,67377220,0.04043452021726024,0.036680697534577034
115,2023-03-24,85.45,86.6,84.5,85.3,48345392,-0.01044083526682138,0.025856885147325093
116,2023-03-27,86.35,89.95,83.8,85.25,100519321,-0.0005861664712778492,0.025255562236922158
117,2023-03-28,85.1,85.65,83.3,84.25,53162509,-0.011730205278592365,0.013229104028864347
118,2023-03-29,96.85,98.0,94.35,94.55,163130347,0.12225519287833819,0.13710162357185895
119,2023-03-30,97.1,97.2,94.65,96.9,88453938,0.024854574299312704,0.1653638003607949
120,2023-03-31,101.2,102.0,99.6,100.4,89687911,0.03611971104231171,0.20745640408899702
121,2023-04-03,99.0,99.95,97.6,98.55,53752683,-0.018426294820717226,0.18520745640408998
122,2023-04-04,96.15,96.45,93.7,95.65,53862168,-0.029426686960933424,0.15033072760072264
123,2023-04-06,96.2,98.0,95.9,97.75,40751702,0.02195504443282803,0.1755862898376439
124,2023-04-11,100.2,101.5,98.1,99.3,60954920,0.015856777493606034,0.19422730006013333
125,2023-04-12,97.65,98.15,95.7,96.05,38659231,-0.03272910372608262,0.15514131088394567
126,2023-04-13,91.6,94.35,91.1,94.15,65547652,-0.019781363872982682,0.13229104028863614
127,2023-04-14,94.5,95.15,93.75,94.5,26025094,0.0037174721189590088,0.13650030066145624
128,2023-04-17,93.2,96.35,92.8,95.4,37951973,0.00952380952380949,0.14732411304870818
