,date,open,high,low,close,volume,daily return,cumulative return
0,2022-10-17,75.15,77.87,75.11,76.77,14487400,,
1,2022-10-18,78.01,78.64,75.06,76.34,14970556,-0.005601146281099312,-0.005601146281099312
2,2022-10-19,73.28,74.33,70.52,71.27,23094473,-0.06641341367566156,-0.07164256871173635
3,2022-10-20,71.6,74.94,71.55,72.02,19173394,0.010523361863336689,-0.061873127523772276
4,2022-10-21,71.2,72.79,69.4652,72.18,19526824,0.0022216051096919376,-0.059788980070339726
5,2022-10-24,63.39,64.1,58.01,63.15,101023155,-0.1251039068994182,-0.17741305197342694
6,2022-10-25,65.08,66.1788,61.26,63.22,69302372,0.0011084718923197734,-0.17650123746255042
7,2022-10-26,63.36,69.8,62.92,68.51,53063309,0.08367605188231586,-0.10759411228344384
8,2022-10-27,65.44,67.8799,65.42,65.84,25812645,-0.03897241278645458,-0.14237332291259586
9,2022-10-28,63.2,64.15,61.82,63.74,28638002,-0.03189550425273391,-0.1697277582388952
10,2022-10-31,63.49,64.8499,63.22,63.58,20645269,-0.002510197678067261,-0.17181190569232763
11,2022-11-01,68.01,68.4512,65.64,65.86,27256999,0.035860333438188174,-0.1421128044809169
12,2022-11-02,66.48,67.67,64.33,64.7,28298088,-0.01761311873671423,-0.15722287351830133
13,2022-11-03,63.42,66.88,63.4,65.21,23360518,0.007882534775888628,-0.15057965351048586
14,2022-11-04,71.17,71.64,67.45,69.81,50595584,0.07054132801717539,-0.09066041422430626
15,2022-11-07,71.3,71.88,68.6722,69.71,26087638,-0.0014324595330182932,-0.0919630063827016
16,2022-11-08,67.62,68.92,66.27,68.13,23870184,-0.022665327786544287,-0.11254396248534593
17,2022-11-09,66.43,66.78,64.8,64.84,22099340,-0.0482900337589901,-0.15539924449654818
18,2022-11-10,68.03,69.99,68.0,69.77,28757183,0.07603331276989511,-0.09118145108766451
19,2022-11-11,72.32,72.7,69.31,70.77,38723358,0.014332807797047487,-0.0781555295037124
20,2022-11-14,73.16,74.0,71.32,71.33,30310714,0.007912957467853587,-0.07086101341669926
21,2022-11-15,78.93,80.37,77.81,79.3,53150492,0.11173419318659739,0.03295558160739853
22,2022-11-16,80.32,80.45,77.41,78.16,26637348,-0.014375788146279933,0.018106031001693168
23,2022-11-17,76.0,85.68,75.76,84.26,62050577,0.07804503582395106,0.09756415266380092
24,2022-11-18,82.15,82.52,79.86,80.48,29528331,-0.04486114407785424,0.04832616907646203
25,2022-11-21,78.69,79.06,76.47,76.93,19005149,-0.04411033797216701,0.002084147453432106
26,2022-11-22,75.44,76.8,74.58,75.99,20694114,-0.012218900298973212,-0.010160218835482904
27,2022-11-23,78.19,78.845,76.85,78.5,19032677,0.033030661929201344,0.022534844340236893
28,2022-11-25,75.5,76.05,74.92,75.5,13036881,-0.03821656050955413,-0.01654292041161931
29,2022-11-28,74.74,77.417,74.68,75.88,19119393,0.005033112582781385,-0.01159307020971756
30,2022-11-29,80.24,80.89,79.45,79.86,24178076,0.05245123879810243,0.04025009769441179
31,2022-11-30,82.74,89.625,82.25,87.56,60169613,0.09641873278236912,0.1405496938908426
32,2022-12-01,84.35,87.6,84.26,85.94,20243018,-0.01850159890360903,0.11944770092484025
33,2022-12-02,86.05,91.85,86.05,90.06,35042629,0.047940423551315,0.17311449785072286
34,2022-12-05,92.9,92.9,89.63,90.52,30929815,0.0051077059737951735,0.17910642177934077
35,2022-12-06,91.88,92.57,89.2,91.45,26675734,0.010273972602739878,0.19122052885241647
36,2022-12-07,87.06,89.2595,86.62,88.33,19507404,-0.03411700382722804,0.15057965351048597
37,2022-12-08,91.97,94.335,91.08,94.17,29241462,0.06611570247933884,0.22665103556076605
38,2022-12-09,93.27,93.75,91.225,91.34,15452118,-0.030052033556334234,0.1897876774781817
39,2022-12-12,90.09,90.889,87.75,89.41,15190207,-0.021129844536895148,0.16464764882115412
40,2022-12-13,93.45,94.98,90.3,91.41,21150557,0.022368862543339585,0.1906994919890581
41,2022-12-14,91.06,91.265,89.5,90.91,15575486,-0.005469861065528936,0.18418653119708206
42,2022-12-15,93.09,94.08,86.05,86.21,30419400,-0.05169948300517002,0.12296469975250734
43,2022-12-16,88.8,90.57,86.61,86.79,25084555,0.006727757800719214,0.13051973427119967
44,2022-12-19,89.75,89.78,86.5005,87.16,20737008,0.0042631639589814085,0.1353393252572619
45,2022-12-20,85.04,87.2,85.04,85.92,15315427,-0.014226709499770451,0.1191871824931614
46,2022-12-21,86.01,88.3869,85.46,87.81,18212852,0.0219972067039107,0.14380617428683085
47,2022-12-22,89.08,89.69,86.67,87.97,16004787,0.0018221159321261116,0.14589032174026317
48,2022-12-23,87.85,88.65,85.5201,85.65,17949298,-0.026372627031942653,0.11567018366549453
49,2022-12-27,86.55,90.6893,86.21,89.86,22959936,0.049153531815528284,0.17050931353393262
50,2022-12-28,88.98,90.15,86.4647,87.2,16268785,-0.029601602492766443,0.13586036212062025
51,2022-12-29,87.625,89.52,87.06,89.13,12535405,0.022133027522935667,0.1610003907776476
52,2022-12-30,87.45,89.41,87.4101,88.09,11926714,-0.011668349601705263,0.14745343233033759
53,2023-01-03,91.11,94.45,90.75,91.98,27891043,0.04415938244976725,0.19812426729191102
54,2023-01-04,98.85,104.52,96.97,103.92,53291751,0.12981082844096536,0.3536537710042986
55,2023-01-05,101.4,105.7,100.6401,104.58,30400384,0.006351039260970026,0.362250879249707
56,2023-01-06,104.11,108.0,102.46,107.4,21072355,0.02696500286861747,0.3989839781164519
57,2023-01-09,111.99,113.11,108.12,110.83,42085274,0.031936685288640465,0.44366288914940744
58,2023-01-10,112.97,115.48,111.21,114.88,33478575,0.03654245240458365,0.4964178715644134
59,2023-01-11,114.6,115.2099,112.31,115.02,22804411,0.0012186629526462767,0.4982415005861667
60,2023-01-12,113.66,113.79,111.45,113.15,16590604,-0.016258042079638213,0.4738830272241765
61,2023-01-13,114.52,117.98,114.09,117.01,25615105,0.0341140079540434,0.5241630845382317
62,2023-01-17,115.52,117.01,114.34,115.19,16945555,-0.015554226134518512,0.5004559072554389
63,2023-01-18,116.75,116.75,113.04,113.22,15347918,-0.017102179008594454,0.4747948417350534
64,2023-01-19,114.02,117.0,113.97,116.58,18489927,0.029676735559088563,0.5185619382571325
65,2023-01-20,118.302,120.06,117.8,119.86,18342688,0.02813518613827415,0.5612869610524953
66,2023-01-23,120.0,120.3,118.1372,119.53,13590219,-0.0027532120807608473,0.5569884069297912
67,2023-01-24,115.0,120.0,115.0,119.44,7807114,-0.0007529490504476488,0.5558160739872355
68,2023-01-25,118.51,120.32,117.5,120.25,9704954,0.006781647689216408,0.5663670704702368
69,2023-01-26,121.0,121.3,118.762,120.57,11170977,0.002661122661122617,0.5705353653771015
70,2023-01-27,119.69,119.71,116.81,118.38,18027374,-0.018163722318984776,0.5420085971082464
71,2023-01-30,111.69,113.15,109.78,111.2,21918217,-0.06065213718533535,0.44848248013547054
72,2023-01-31,109.42,112.08,108.81,110.2,15329975,-0.008992805755395739,0.43545655855151844
73,2023-02-01,111.86,113.95,110.15,112.82,16622999,0.023774954627949096,0.46958447310147267
74,2023-02-02,112.5,112.525,107.81,109.74,23396932,-0.027300124091473088,0.4294646346229003
75,2023-02-03,108.05,109.5299,105.81,106.33,15982156,-0.031073446327683607,0.38504624202162385
76,2023-02-06,103.82,106.28,103.22,105.45,15337475,-0.008276121508511203,0.37358343102774616
77,2023-02-07,106.84,107.35,103.72,105.5,16861658,0.00047415836889519447,0.3742347271069437
78,2023-02-08,107.1,107.14,103.55,105.11,14329488,-0.003696682464454981,0.36915461768920244
79,2023-02-09,108.5,109.81,107.75,108.46,16281295,0.031871372847493085,0.4127914549954419
80,2023-02-10,105.8,106.64,102.79,103.65,18776035,-0.04434814678222376,0.35013677217663264
81,2023-02-13,105.99,106.35,104.15,104.79,17577825,0.010998552821997132,0.364986322782338
82,2023-02-14,103.55,104.48,101.85,104.22,12978395,-0.005439450329229989,0.3575615474794851
83,2023-02-15,102.39,103.44,102.0,103.08,18910236,-0.010938399539435761,0.34271199687377973
84,2023-02-16,102.71,104.52,102.03,103.11,21747094,0.00029103608847491635,0.3431027745212982
85,2023-02-17,101.0,101.09,99.25,100.01,18121644,-0.030064979148482163,0.3027224176110468
86,2023-02-21,96.5,97.625,94.7,95.1,27172733,-0.049095090490951065,0.23876514263384196
87,2023-02-22,95.575,95.89,93.5546,94.78,24484024,-0.0033648790746582113,0.2345968477269773
88,2023-02-23,100.1,100.47,92.13,94.16,40482949,-0.00654146444397552,0.22652077634492707
89,2023-02-24,90.07,91.68,88.03,89.0,36174519,-0.05480033984706878,0.15930702097173444
90,2023-02-27,90.85,91.24,88.895,89.25,25839998,0.002808988764045006,0.16256350136772246
91,2023-02-28,88.46,89.34,87.27,87.79,24597162,-0.016358543417366866,0.14354565585515244
92,2023-03-01,92.92,92.92,89.73,89.95,35434898,0.02460416903975382,0.17168164647648876
93,2023-03-02,88.96,90.919,87.97,89.75,25691768,-0.0022234574763757564,0.1690764621596983
94,2023-03-03,90.11,90.46,88.4,89.7,25834349,-0.0005571030640668662,0.16842516608050073
95,2023-03-06,89.585,91.3001,88.03,89.62,16983867,-0.0008918617614269708,0.16738309235378468
96,2023-03-07,89.52,90.05,88.2,88.73,14514657,-0.009930819013613035,0.15579002214406734
97,2023-03-08,87.39,87.77,86.45,86.95,14721537,-0.02006085878507835,0.13260388172463267
98,2023-03-09,85.12,85.69,82.875,83.37,24327736,-0.04117308798159858,0.08597108245408425
99,2023-03-10,82.64,84.52,82.33,82.96,18123069,-0.00491783615209318,0.08063045460466389
100,2023-03-13,83.01,83.755,81.97,82.9,17848336,-0.0007232401157182267,0.07984889930962691
101,2023-03-14,82.86,83.91,82.1601,83.85,20126118,0.011459589867309772,0.09222352481438101
102,2023-03-15,81.55,82.54,80.15,81.51,21025307,-0.027906976744185963,0.061742868307933296
103,2023-03-16,81.46,82.48,80.66,82.22,22922965,0.00871058765795607,0.07099127263253924
104,2023-03-17,84.0,84.16,80.62,81.67,23711136,-0.006689369982972426,0.06382701576136562
