date,open,high,low,close,volume,daily return,cumulative return
2023-01-17,51.24,52.92,49.77,50.57,3626582,-0.03215311004784693,0.44692417739628176
2023-01-18,51.86,52.3,49.26,49.36,2694464,-0.023927229582756615,0.41230329041487956
2023-01-19,50.46,52.7,50.0,51.68,3217305,0.04700162074554304,0.47868383404864234
2023-01-20,53.5,53.52,52.02,52.99,3231822,0.025348297213622306,0.5161659513590859
2023-01-23,53.4,54.5,51.49,53.51,3006366,0.009813172296659678,0.5310443490701016
2023-01-24,52.78,53.45,52.05,53.14,1117915,-0.0069145954027284295,0.520457796852648
2023-01-25,52.83,55.45,52.6295,53.8,1939580,0.012420022581859147,0.5393419170243217
2023-01-26,55.03,55.2,52.33,54.51,2277098,0.01319702602230488,0.5596566523605162
2023-01-27,54.1,54.57,52.7,54.19,1481110,-0.005870482480278882,0.5505007153075834
2023-01-30,51.74,52.68,50.8,51.43,2031407,-0.05093190625576671,0.4715307582260384
2023-01-31,51.12,52.62,50.2,50.76,1614710,-0.013027415905113804,0.45236051502146024
2023-02-01,52.86,56.25,52.86,55.98,3723214,0.10283687943262398,0.6017167381974258
2023-02-02,55.28,56.56,52.86,53.55,2959816,-0.043408360128617374,0.5321888412017175
2023-02-03,52.89,54.89,52.24,52.33,1701259,-0.022782446311858107,0.4972818311874112
2023-02-06,50.9,51.4,48.61,50.5,3267847,-0.03497038027899868,0.444921316165952
2023-02-07,48.62,50.025,47.66,49.95,2876358,-0.01089108910891079,0.42918454935622385
2023-02-08,49.06,49.47,46.83,46.96,2837040,-0.059859859859859865,0.34363376251788336
2023-02-09,48.28,48.65,47.3,47.5,1783123,0.011499148211243648,0.3590844062947074
2023-02-10,46.0,47.22,45.27,45.9,1985947,-0.03368421052631587,0.3133047210300435
2023-02-13,44.87,47.65,44.77,47.63,2036000,0.03769063180827903,0.3628040057224615
2023-02-14,48.61,48.92,47.03,47.88,1999756,0.005248792777661215,0.36995708154506546
2023-02-15,51.14,52.58,49.14,50.21,6825925,0.04866332497911441,0.4366237482117321
2023-02-16,50.6,50.8,48.46,50.08,2268142,-0.0025891256721769507,0.432904148783978
2023-02-17,49.0,49.16,47.11,47.31,2431979,-0.055311501597444024,0.3536480686695289
2023-02-21,46.232,47.87,45.93,46.55,1955120,-0.01606425702811254,0.33190271816881345
2023-02-22,47.0,47.68,46.07,46.49,1372815,-0.0012889366272823555,0.33018597997138865
2023-02-23,47.14,47.565,44.14,44.81,2438232,-0.036136803613680324,0.28211731044349175
2023-02-24,44.07,45.895,43.32,45.67,2274593,0.019192144610578055,0.3067238912732486
2023-02-27,46.54,47.18,45.87,46.47,1108123,0.017516969564265406,0.32961373390558046
2023-02-28,46.4,49.83,46.27,49.21,2959332,0.058962771680654225,0.40801144492131725
2023-03-01,51.21,51.39,48.6,49.12,2272211,-0.0018288965657387024,0.40543633762517994
2023-03-02,48.32,51.66,48.1976,51.52,1890255,0.04885993485342022,0.4741058655221757
2023-03-03,51.22,51.62,49.58,50.23,1278945,-0.025038819875776497,0.4371959942775403
2023-03-06,50.42,50.49,48.73,49.39,1592693,-0.016723073860242854,0.41316165951359185
2023-03-07,48.72,49.73,48.52,49.1,1121876,-0.005871633933994702,0.40486409155937153
2023-03-08,48.38,48.8,47.6,48.67,1002191,-0.008757637474541724,0.3925608011444932
2023-03-09,47.67,47.705,45.9,45.95,2047117,-0.05588658311074579,0.31473533619456484
2023-03-10,45.55,46.63,44.16,45.33,2198564,-0.013492927094668206,0.2969957081545074
2023-03-13,45.0,46.71,43.0,46.05,2267025,0.01588352084712108,0.317596566523606
2023-03-14,46.81,47.43,46.135,46.92,1425927,0.01889250814332266,0.3424892703862672
2023-03-15,46.26,46.65,44.845,45.38,1271662,-0.03282182438192671,0.2984263233190283
2023-03-16,45.0,46.37,44.6,46.14,1233899,0.016747465843984122,0.32017167381974354
2023-03-17,46.95,46.95,44.32,45.07,1843301,-0.023190290420459503,0.28955650929899956
2023-03-20,44.68,45.01,43.88,44.07,1565991,-0.022187708009762552,0.2609442060085847
2023-03-21,44.8,46.66,44.31,45.75,1775728,0.038121170864533704,0.3090128755364818
2023-03-22,46.28,47.92,45.82,46.02,1975884,0.005901639344262355,0.31673819742489395
2023-03-23,48.12,51.25,48.04,48.68,4702109,0.05780095610604086,0.3928469241773975
2023-03-24,49.0,50.26,48.18,49.28,1322650,0.012325390304026351,0.4100143061516466
2023-03-27,49.02,50.16,48.62,49.31,1484249,0.0006087662337661559,0.41087267525035887
2023-03-28,51.5,52.32,44.12,46.2,10639912,-0.0630703711214764,0.32188841201716856
2023-03-29,46.5,49.52,46.32,49.39,3482909,0.06904761904761902,0.41316165951359207
