date,open,high,low,close,volume,daily return,cumulative return,1M return,3M return,1Y return
2022-10-27,229.77,233.81,222.85,225.09,61638824,,,,,
2022-10-28,225.4,228.86,216.35,228.52,69152386,0.015238349104802484,0.015238349104802484,,,0.015238349104802484
2022-10-31,226.19,229.85,221.94,227.54,61554341,-0.004288464904603662,0.010884535074858759,,,0.010884535074858759
2022-11-01,234.05,237.3951,227.28,227.82,62688822,0.0012305528698250967,0.012128481940556934,,,0.012128481940556934
2022-11-02,226.04,227.8699,214.82,214.98,63070293,-0.05636028443508034,-0.04491536718645894,,,-0.04491536718645894
2022-11-03,211.36,221.2,210.14,215.31,56538848,0.0015350265140943176,-0.0434492869518861,,,-0.0434492869518861
2022-11-04,222.6,223.8,203.08,207.47,98622212,-0.036412614369978225,-0.0782797991914348,,,-0.0782797991914348
2022-11-07,208.65,208.9,196.66,197.08,93916520,-0.05007952957054029,-0.12443911324359169,,,-0.12443911324359169
2022-11-08,194.02,195.2,186.75,191.3,128803404,-0.02932819159732092,-0.15011773068550383,,,-0.15011773068550383
2022-11-09,190.775,195.89,177.12,177.59,127062659,-0.0716675378985886,-0.21102670043093896,,,-0.21102670043093896
2022-11-10,189.9,191.0,180.03,190.72,132703015,0.07393434314995218,-0.15269447776445,,,-0.15269447776445
2022-11-11,186.0,196.52,182.59,195.97,114403575,0.02752726510067105,-0.12937047403260948,,,-0.12937047403260948
2022-11-14,192.77,195.73,186.34,190.95,92226649,-0.025616165739654084,-0.1516726642676266,,,-0.1516726642676266
2022-11-15,195.88,200.8237,192.06,194.42,91293785,0.018172296412673372,-0.13625660846772447,,,-0.13625660846772447
2022-11-16,191.51,192.57,185.66,186.92,66567599,-0.0385762781606831,-0.1695766137989253,,,-0.1695766137989253
2022-11-17,183.96,186.16,180.9,183.17,64335970,-0.02006205863471,-0.18623661646452572,,,-0.18623661646452572
2022-11-18,185.05,185.19,176.55,180.19,76048866,-0.01626903968990545,-0.1994757652494561,,,-0.1994757652494561
2022-11-21,175.85,176.77,167.54,167.87,92882712,-0.06837227371108268,-0.25420942734017526,,,-0.25420942734017526
2022-11-22,168.63,170.92,166.185,169.91,78452327,0.012152260677905424,-0.24514638589008875,,,-0.24514638589008875
2022-11-23,173.57,183.62,172.5,183.2,109536709,0.0782178800541462,-0.18610333644320098,,,-0.18610333644320098
2022-11-25,185.06,185.2,180.63,182.86,50672739,-0.0018558951965064185,-0.18761384335154863,,,-0.18761384335154863
2022-11-28,179.96,188.5,179.0,182.92,93038148,0.0003281198731268642,-0.18734728330889916,,,-0.18734728330889916
2022-11-29,184.99,186.38,178.75,180.83,83357111,-0.011425759895035914,-0.19663245812786034,,,-0.19663245812786034
2022-11-30,182.43,194.76,180.6301,194.7,109186404,0.0767018746889343,-0.1350126616020263,,,-0.1350126616020263
2022-12-01,197.08,198.92,191.8,194.7,80046213,0.0,-0.1350126616020263,,,-0.1350126616020263
2022-12-02,191.78,196.25,191.11,194.86,73645922,0.0008217770929637158,-0.13430183482162716,,,-0.13430183482162716
2022-12-05,189.44,191.27,180.55,182.45,93122667,-0.06368674946115171,-0.18943533697632098,,,-0.18943533697632098
2022-12-06,181.215,183.65,175.33,179.82,92150823,-0.014414908194025688,-0.2011195521791287,,,-0.2011195521791287
2022-12-07,175.03,179.38,172.218,174.04,84213284,-0.0321432543654766,-0.22679816962104082,,,-0.22679816962104082
2022-12-08,172.2,175.2,169.06,173.44,97624491,-0.003447483337163826,-0.22946377004753682,,,-0.22946377004753682
2022-12-09,173.84,182.5,173.36,179.05,104872336,0.032345479704797064,-0.20454040605979862,,,-0.20454040605979862
2022-12-12,176.1,177.37,167.52,167.82,109794471,-0.06271991063948623,-0.25443156070905004,,,-0.25443156070905004
2022-12-13,174.87,175.05,156.91,160.95,175862722,-0.04093671791204867,-0.28495268559243003,,,-0.28495268559243003
2022-12-14,159.25,161.62,155.31,156.8,140682338,-0.025784405094749774,-0.3033897552090278,,,-0.3033897552090278
2022-12-15,153.44,160.9299,153.28,157.67,122334459,0.005548469387754995,-0.2995246345906085,,,-0.2995246345906085
2022-12-16,159.635,160.99,150.04,150.23,139032175,-0.0471871630620917,-0.33257807987915977,,,-0.33257807987915977
2022-12-19,154.0,155.25,145.82,149.87,139390634,-0.002396325634027696,-0.33417744013505735,,,-0.33417744013505735
2022-12-20,146.05,148.47,137.66,137.8,159563267,-0.08053646493627808,-0.3878004353814032,,,-0.3878004353814032
2022-12-21,139.335,141.26,135.89,137.57,145417412,-0.0016690856313499314,-0.3888222488782268,,,-0.3888222488782268
2022-12-22,136.0,136.63,122.26,125.35,210090250,-0.088827505996947,-0.44311164423119664,,,-0.44311164423119664
2022-12-23,126.37,128.6173,121.02,123.15,166989688,-0.017550857598723435,-0.4528855124616822,,,-0.4528855124616822
2022-12-27,117.495,119.67,108.76,109.1,208643444,-0.11408850994721897,-0.5153049891154652,,,-0.5153049891154652
2022-12-28,110.35,116.27,108.24,112.71,221070537,0.033088909257561916,-0.49926695988271386,,,-0.49926695988271386
2022-12-29,120.385,123.57,117.495,121.82,221923313,0.08082690089610511,-0.45879426007374857,,,-0.45879426007374857
2022-12-30,119.95,124.48,119.75,123.18,157777339,0.011164012477425933,-0.45275223244035734,,,-0.45275223244035734
2023-01-03,118.47,118.8,104.64,108.1,231402818,-0.12242247118038652,-0.5197476564929586,,,-0.5197476564929586
2023-01-04,109.11,114.59,107.52,113.64,180388976,0.05124884366327476,-0.4951352792216449,,,-0.4951352792216449
2023-01-05,110.51,111.75,107.1601,110.34,157986324,-0.029039070749735996,-0.5097960815673732,,,-0.5097960815673732
2023-01-06,103.0,114.39,101.81,113.06,220911051,0.02465107848468362,-0.4977120263005912,,,-0.4977120263005912
2023-01-09,118.96,123.52,117.11,119.77,190283951,0.05934901822041394,-0.4679017281976102,,,-0.4679017281976102
2023-01-10,121.07,122.76,114.92,118.85,167642485,-0.007681389329548316,-0.47198898218490415,,,-0.47198898218490415
2023-01-11,122.09,125.95,120.51,123.22,183810771,0.036769036600757365,-0.4525745257452577,,,-0.4525745257452577
2023-01-12,122.56,124.1311,117.0,123.56,169400913,0.002759292322674911,-0.45106401883690994,,,-0.45106401883690994
2023-01-13,116.55,122.63,115.6,122.4,180714119,-0.009388151505341558,-0.4562175129948024,,,-0.4562175129948024
2023-01-17,125.695,131.7,125.02,131.49,186476985,0.0742647058823529,-0.41583366653338705,,,-0.41583366653338705
2023-01-18,136.555,136.68,127.01,128.78,195680318,-0.02060993231424446,-0.42787329512639427,,,-0.42787329512639427
2023-01-19,127.26,129.99,124.3082,127.17,170291880,-0.012501941295232188,-0.4350259896041587,,,-0.4350259896041587
2023-01-20,128.68,133.51,127.3466,133.42,138858136,0.049146811354879194,-0.4072593184948248,,,-0.4072593184948248
2023-01-23,135.87,145.3793,134.27,143.75,203119211,0.07742467396192487,-0.36136656448531745,,,-0.36136656448531745
2023-01-24,143.0,146.5,141.1,143.89,158699056,0.0009739130434782695,-0.36074459105246837,,,-0.36074459105246837
2023-01-25,141.905,146.41,138.07,144.43,192734347,0.003752866773229613,-0.35834555066862184,,,-0.35834555066862184
2023-01-26,159.965,161.42,154.76,160.27,234815090,0.10967250571210974,-0.28797369940912565,,,-0.28797369940912565
2023-01-27,162.43,180.68,161.17,177.9,306590613,0.11000187184126786,-0.20964947354391628,,,-0.20964947354391628
2023-01-30,178.05,179.77,166.5,166.66,230878807,-0.06318156267566055,-0.2595850548669426,,,-0.2595850548669426
2023-01-31,164.57,174.3,162.78,173.22,196813541,0.0393615744629785,-0.23044115687058564,,,-0.23044115687058564
2023-02-01,173.89,183.805,169.93,181.41,213806323,0.047280914444059574,-0.19405571104891428,,,-0.19405571104891428
2023-02-02,187.325,196.7501,182.61,188.27,217448287,0.03781489443801345,-0.1635790128393092,,,-0.1635790128393092
2023-02-03,183.95,199.0,183.69,189.98,232662023,0.009082700377117892,-0.15598205162379553,,,-0.15598205162379553
2023-02-06,193.01,198.17,189.92,194.76,186188131,0.025160543215075215,-0.13474610155937694,,,-0.13474610155937694
2023-02-07,196.43,197.5,189.55,196.81,186010325,0.010525775313205976,-0.1256386334355154,,,-0.1256386334355154
2023-02-08,196.1,203.0,194.31,201.29,180673644,0.022763070982165567,-0.1057354835843447,,,-0.1057354835843447
2023-02-09,207.775,214.0,204.77,207.32,215431442,0.02995677877688907,-0.07894619929805924,,,-0.07894619929805924
2023-02-10,202.225,206.2,192.89,196.89,204754129,-0.05030870152421385,-0.1252832200453159,,,-0.1252832200453159
2023-02-13,194.415,196.3,187.61,194.64,172475452,-0.011427700746609815,-0.1352792216446762,,,-0.1352792216446762
2023-02-14,191.94,209.82,189.44,209.25,216455708,0.07506165228113448,-0.07037185125949696,,,-0.07037185125949696
2023-02-15,211.755,214.66,206.11,214.24,182108581,0.023847072879330966,-0.04820294104580469,,,-0.04820294104580469
2023-02-16,210.78,217.65,201.84,202.04,229586538,-0.05694548170276337,-0.10240348305122482,,,-0.10240348305122482
2023-02-17,199.985,208.44,197.5,208.31,213738549,0.03103345872104546,-0.07454795859434082,,,-0.07454795859434082
2023-02-21,204.99,209.71,197.22,197.37,180018588,-0.05251788200278429,-0.12315073970411905,,,-0.12315073970411905
2023-02-22,197.93,201.99,191.78,200.86,191828457,0.01768252520646496,-0.10764583055666699,,,-0.10764583055666699
2023-02-23,203.91,205.14,196.33,202.07,146359950,0.0060240963855420215,-0.10227020302990009,,,-0.10227020302990009
2023-02-24,196.325,197.6695,192.8,196.88,142228105,-0.025684168852377898,-0.12532764671909102,,,-0.12532764671909102
2023-02-27,202.03,209.42,201.26,207.63,161028315,0.05460178789110115,-0.07756897241103655,,,-0.07756897241103655
2023-02-28,210.59,211.23,203.75,205.71,153144912,-0.009247218610027419,-0.08609889377582391,,,-0.08609889377582391
2023-03-01,206.21,207.2,198.52,202.77,156852790,-0.014291964415925285,-0.09916033586565465,,,-0.09916033586565465
2023-03-02,186.74,193.7499,186.01,190.9,181979154,-0.05853923164176167,-0.15189479763650182,,,-0.15189479763650182
2023-03-03,194.795,200.48,192.88,197.79,154193277,0.03609219486642212,-0.12128481940557212,,,-0.12128481940557212
2023-03-06,198.54,198.6,192.3,193.81,128100106,-0.020122351989483755,-0.13896663556799593,,,-0.13896663556799593
2023-03-07,191.38,194.2,186.1,187.71,148125790,-0.031474124142201076,-0.16606690657070589,,,-0.16606690657070589
2023-03-08,185.04,186.5,180.0,182.0,151897763,-0.030419263757924475,-0.19143453729619342,,,-0.19143453729619342
2023-03-09,180.25,185.18,172.5124,172.92,170023794,-0.04989010989011,-0.23177395708383397,,,-0.23177395708383397
2023-03-10,175.13,178.29,168.44,173.44,191488872,0.0030071709461023666,-0.22946377004753726,,,-0.22946377004753726
2023-03-13,167.455,177.35,163.91,174.48,167790256,0.005996309963099522,-0.22484339597494418,,,-0.22484339597494418
2023-03-14,177.31,183.8,177.1401,183.26,143717897,0.05032095369096745,-0.18583677640055174,,,-0.18583677640055174
2023-03-15,180.8,182.34,176.03,180.45,145995583,-0.015333406089708679,-0.1983206717313084,,,-0.1983206717313084
2023-03-16,180.365,185.81,178.84,184.13,121374453,0.020393460792463403,-0.18197165578213248,,,-0.18197165578213248
2023-03-17,184.515,186.2199,177.33,180.13,133197140,-0.02172378211046544,-0.19974232529210623,,,-0.19974232529210623
2023-03-20,178.08,186.44,176.35,183.25,129684359,0.017320823849442002,-0.18588120307432676,,,-0.18588120307432676
2023-03-21,188.28,198.0,188.04,197.58,153391444,0.07819918144611204,-0.12221777955484558,,,-0.12221777955484558
2023-03-22,199.3,200.66,190.95,191.15,150376373,-0.032543779734791056,-0.1507841307921285,,,-0.1507841307921285
2023-03-23,195.26,199.31,188.65,192.22,144193876,0.005597698142819629,-0.14603047669821068,,,-0.14603047669821068
2023-03-24,191.65,192.36,187.15,190.41,116531584,-0.009416293829986433,-0.1540717046514738,,,-0.1540717046514738
2023-03-27,194.415,197.39,189.94,191.81,120851587,0.007352555012867024,-0.14785197032298292,,,-0.14785197032298292
2023-03-28,192.0,192.35,185.43,189.19,98654635,-0.013659350398832149,-0.15949175885201572,,,-0.15949175885201572
2023-03-29,193.13,195.29,189.44,193.88,123660026,0.024789893757598103,-0.13865564885157156,,,-0.13865564885157156
2023-03-30,195.58,197.33,194.42,195.28,110252238,0.007220961419434735,-0.13243591452308068,,,-0.13243591452308068
2023-03-31,197.53,207.79,197.2,207.46,170222118,0.06237197869725519,-0.0783242258652106,,,-0.0783242258652106
2023-04-03,199.91,202.6897,192.2,194.77,169545900,-0.06116841800829076,-0.13470167488560236,,,-0.13470167488560236
2023-04-04,197.32,198.7446,190.32,192.58,126463845,-0.011244031421676848,-0.144431116442313,,,-0.144431116442313
2023-04-05,190.515,190.68,183.76,185.52,133882493,-0.03666008931353204,-0.17579634812741673,,,-0.17579634812741673
2023-04-06,183.08,186.39,179.74,185.06,123857932,-0.0024795170332040373,-0.17783997512106375,,,-0.17783997512106375
2023-04-10,179.94,185.1,176.11,184.51,142154637,-0.0029720090781368835,-0.1802834421786852,,,-0.1802834421786852
2023-04-11,186.69,189.19,185.6475,186.79,115770892,0.012357053818221164,-0.17015416055800026,,,-0.17015416055800026
2023-04-12,190.74,191.5846,180.31,180.54,150256278,-0.03346003533379727,-0.1979208316673342,,,-0.1979208316673342
2023-04-13,182.955,186.5,180.94,185.9,112932985,0.029688711642849253,-0.17410813452396934,,,-0.17410813452396934
2023-04-14,183.95,186.28,182.01,185.0,96438664,-0.004841312533620301,-0.17810653516371344,,,-0.17810653516371344
2023-04-17,186.32,189.69,182.69,187.04,116662189,0.011027027027026959,-0.16904349371362692,,,-0.16904349371362692
2023-04-18,187.15,187.69,183.5775,184.31,92067016,-0.014595808383233488,-0.18117197565418397,,,-0.18117197565418397
2023-04-19,179.1,183.5,177.65,180.59,125732687,-0.02018338668547559,-0.19769869829845954,,,-0.19769869829845954
2023-04-20,166.165,169.7,160.56,162.99,210970819,-0.09745833102608115,-0.27588964414234407,,,-0.27588964414234407
2023-04-21,164.8,166.0,161.3208,165.08,123538954,0.01282287256886927,-0.2666044693233828,,,-0.2666044693233828
2023-04-24,164.65,165.65,158.61,162.55,140006559,-0.015325902592682294,-0.27784441778844116,,,-0.27784441778844116
2023-04-25,159.82,163.47,158.75,160.67,121999312,-0.01156567210089221,-0.286196632458129,,,-0.286196632458129
2023-04-26,160.29,160.67,153.14,153.75,153364142,-0.043069645857969685,-0.31693989071038353,,,-0.31693989071038353
2023-04-27,152.64,160.48,152.37,160.19,127015177,0.04188617886178858,-0.2883291127993258,,,-0.2883291127993258
2023-04-28,160.9,165.0,157.32,164.31,122515812,0.025719458143454776,-0.2700253232040528,,,-0.2700253232040528
2023-05-01,163.17,163.28,158.83,161.83,109015048,-0.015093420972551841,-0.28104313830023653,,,-0.28104313830023653
2023-05-02,161.88,165.49,158.93,160.31,128259744,-0.009392572452573744,-0.28779599271402656,,,-0.28779599271402656
2023-05-03,160.01,165.0,159.91,160.61,119727972,0.001871374212463417,-0.28646319250077845,,,-0.28646319250077845
2023-05-04,162.71,162.95,159.65,161.2,95108492,0.00367349480107082,-0.28384201874805737,,,-0.28384201874805737
2023-05-05,163.97,170.7899,163.51,170.06,107607259,0.054962779156327635,-0.24447998578346541,,,-0.24447998578346541
2023-05-08,173.72,173.8,169.19,171.79,112249449,0.010172880159943443,-0.2367941712204018,,,-0.2367941712204018
