date,open,high,low,close,volume,daily return,cumulative return
2022-12-05,92.9,92.9,89.63,90.52,30929815,0.0051077059737951735,0.25687309080810894
2022-12-06,91.88,92.57,89.2,91.45,26675734,0.010273972602739878,0.26978617050819254
2022-12-07,87.06,89.2595,86.62,88.33,19507404,-0.03411700382722804,0.2264648708692032
2022-12-08,91.97,94.335,91.08,94.17,29241462,0.06611570247933884,0.30755345737295214
2022-12-09,93.27,93.75,91.225,91.34,15452118,-0.030052033556334234,0.2682588169952793
2022-12-12,90.09,90.889,87.75,89.41,15190207,-0.021129844536895148,0.2414607053596225
2022-12-13,93.45,94.98,90.3,91.41,21150557,0.022368862543339585,0.2692307692307694
2022-12-14,91.06,91.265,89.5,90.91,15575486,-0.005469861065528936,0.26228825326298266
2022-12-15,93.09,94.08,86.05,86.21,30419400,-0.05169948300517002,0.1970286031657873
2022-12-16,88.8,90.57,86.61,86.79,25084555,0.006727757800719214,0.20508192168841988
2022-12-19,89.75,89.78,86.5005,87.16,20737008,0.0042631639589814085,0.21021938350458202
2022-12-20,85.04,87.2,85.04,85.92,15315427,-0.014226709499770451,0.193001943904471
2022-12-21,86.01,88.3869,85.46,87.81,18212852,0.0219972067039107,0.2192446542627049
2022-12-22,89.08,89.69,86.67,87.97,16004787,0.0018221159321261116,0.2214662593723966
2022-12-23,87.85,88.65,85.5201,85.65,17949298,-0.026372627031942653,0.1892529852818663
2022-12-27,86.55,90.6893,86.21,89.86,22959936,0.049153531815528284,0.2477089697306305
2022-12-28,88.98,90.15,86.4647,87.2,16268785,-0.029601602492766443,0.21077478478200518
2022-12-29,87.625,89.52,87.06,89.13,12535405,0.022133027522935667,0.23757289641766177
2022-12-30,87.45,89.41,87.4101,88.09,11926714,-0.011668349601705263,0.22313246320466562
2023-01-03,91.11,94.45,90.75,91.98,27891043,0.04415938244976725,0.2771452374340464
2023-01-04,98.85,104.52,96.97,103.92,53291751,0.12981082844096536,0.44293251874479345
2023-01-05,101.4,105.7,100.6401,104.58,30400384,0.006351039260970026,0.4520966398222721
2023-01-06,104.11,108.0,102.46,107.4,21072355,0.02696500286861747,0.49125242988058937
2023-01-09,111.99,113.11,108.12,110.83,42085274,0.031936685288640465,0.5388780894196061
2023-01-10,112.97,115.48,111.21,114.88,33478575,0.03654245240458365,0.5951124687586786
2023-01-11,114.6,115.2099,112.31,115.02,22804411,0.0012186629526462767,0.597056373229659
2023-01-12,113.66,113.79,111.45,113.15,16590604,-0.016258042079638213,0.5710913635101369
2023-01-13,114.52,117.98,114.09,117.01,25615105,0.0341140079540434,0.6246875867814505
